City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Misratah,LY,2022-05-13 05:52:17,32.3754,15.0925,64.9,67,5,8.79,clear sky
1,Hofn,IS,2022-05-13 05:52:18,64.2539,-15.2082,36.3,59,100,22.3,overcast clouds
2,Los Llanos De Aridane,ES,2022-05-13 06:02:01,28.6585,-17.9182,62.35,91,75,6.91,broken clouds
3,Dmytrivka,UA,2022-05-13 05:52:19,45.9717,28.9864,74.34,53,2,7.67,clear sky
4,Christchurch,NZ,2022-05-13 05:58:04,-43.5333,172.6333,52.95,82,98,6.91,overcast clouds
5,Killarney,IE,2022-05-13 06:02:02,52.05,-9.5167,52.23,82,100,9.55,overcast clouds
6,Butaritari,KI,2022-05-13 05:52:20,3.0707,172.7902,81.23,73,100,11.7,overcast clouds
7,Rikitea,PF,2022-05-13 06:02:03,-23.1203,-134.9692,76.64,74,10,20.58,clear sky
8,San Policarpo,PH,2022-05-13 06:02:03,12.1791,125.5072,84.76,70,44,11.68,scattered clouds
9,Bredasdorp,ZA,2022-05-13 05:52:22,-34.5322,20.0403,54.73,89,67,5.99,broken clouds
10,Agirish,RU,2022-05-13 05:52:22,61.9247,63.0231,61.59,36,49,10.4,scattered clouds
11,Yellowknife,CA,2022-05-13 05:52:23,62.456,-114.3525,41.52,70,20,10.36,few clouds
12,Paita,PE,2022-05-13 05:52:23,-5.0892,-81.1144,66.15,83,86,10.45,overcast clouds
13,Busselton,AU,2022-05-13 05:52:24,-33.65,115.3333,60.26,58,90,16.64,overcast clouds
14,Tezu,IN,2022-05-13 05:52:24,27.9167,96.1667,71.28,97,100,5.17,light rain
15,Severo-Kurilsk,RU,2022-05-13 05:52:25,50.6789,156.125,41.95,87,68,8.61,broken clouds
16,Plouzane,FR,2022-05-13 05:52:26,48.3833,-4.6167,50.05,100,100,3.44,fog
17,New Norfolk,AU,2022-05-13 05:52:26,-42.7826,147.0587,59.72,70,79,2.66,broken clouds
18,Molteno,ZA,2022-05-13 05:52:27,-31.3968,26.3625,48.87,40,0,6.2,clear sky
19,Saint-Pierre,RE,2022-05-13 05:52:28,-21.3393,55.4781,79.92,57,75,9.22,broken clouds
20,Codrington,AU,2022-05-13 05:52:28,-38.2667,141.9667,66.38,67,100,7.31,overcast clouds
21,Punta Arenas,CL,2022-05-13 05:52:29,-53.15,-70.9167,35.71,93,75,8.05,broken clouds
22,Meulaboh,ID,2022-05-13 05:52:29,4.1363,96.1285,87.15,62,69,5.5,broken clouds
23,College,US,2022-05-13 05:52:30,64.8569,-147.8028,39.18,93,100,9.22,light rain
24,Puerto Ayora,EC,2022-05-13 05:52:30,-0.7393,-90.3518,71.55,96,21,6.35,few clouds
25,Ushuaia,AR,2022-05-13 05:52:31,-54.8,-68.3,42.46,93,75,0.0,broken clouds
26,Arraial Do Cabo,BR,2022-05-13 05:52:31,-22.9661,-42.0278,72.66,75,92,8.57,overcast clouds
27,Kodiak,US,2022-05-13 05:52:32,57.79,-152.4072,45.91,66,0,0.0,clear sky
28,Talnakh,RU,2022-05-13 05:52:32,69.4865,88.3972,40.21,100,100,10.18,overcast clouds
29,Hobart,AU,2022-05-13 05:50:08,-42.8794,147.3294,60.26,76,75,5.75,broken clouds
30,Lorengau,PG,2022-05-13 05:52:33,-2.0226,147.2712,84.81,64,86,6.46,overcast clouds
31,Sabha,LY,2022-05-13 05:52:34,27.0377,14.4283,65.5,52,0,11.81,clear sky
32,Lebu,CL,2022-05-13 05:52:34,-37.6167,-73.65,50.0,87,14,10.29,few clouds
33,Albany,US,2022-05-13 05:52:35,42.6001,-73.9662,65.68,81,65,4.79,broken clouds
34,Fortuna,US,2022-05-13 05:52:35,40.5982,-124.1573,52.92,85,100,13.8,overcast clouds
35,Breves,BR,2022-05-13 05:52:36,-1.6822,-50.4803,73.02,98,100,2.62,overcast clouds
36,Port Elizabeth,ZA,2022-05-13 05:50:59,-33.918,25.5701,60.31,75,0,6.91,clear sky
37,Broome,US,2022-05-13 05:52:37,42.2506,-75.833,63.64,78,33,3.6,scattered clouds
38,Uige,AO,2022-05-13 05:52:37,-7.6087,15.0613,68.47,98,100,1.74,light rain
39,Atuona,PF,2022-05-13 05:52:38,-9.8,-139.0333,78.85,77,25,23.26,scattered clouds
40,Pizarro,CO,2022-05-13 05:52:38,4.9533,-77.366,77.99,89,86,2.62,moderate rain
41,Qaanaaq,GL,2022-05-13 05:52:39,77.484,-69.3632,9.75,67,12,7.23,few clouds
42,Huarmey,PE,2022-05-13 05:52:39,-10.0681,-78.1522,63.5,88,48,9.19,scattered clouds
43,Rocha,UY,2022-05-13 05:52:40,-34.4833,-54.3333,46.98,89,49,3.22,scattered clouds
44,Chippewa Falls,US,2022-05-13 05:52:40,44.9369,-91.3929,80.78,67,75,14.97,broken clouds
45,Mapiri,BO,2022-05-13 05:52:41,-15.25,-68.1667,66.36,98,96,0.67,overcast clouds
46,Dikson,RU,2022-05-13 05:52:41,73.5069,80.5464,29.82,84,100,12.68,overcast clouds
47,Matai,TZ,2022-05-13 05:52:42,-8.3,31.5167,60.24,77,100,5.5,overcast clouds
48,Moree,AU,2022-05-13 05:52:42,-29.4667,149.85,66.92,90,99,9.55,light rain
49,Bethel,US,2022-05-13 05:51:48,41.3712,-73.414,62.91,92,100,4.61,mist
50,Sao Filipe,CV,2022-05-13 05:52:43,14.8961,-24.4956,72.81,80,94,6.22,overcast clouds
51,Bathsheba,BB,2022-05-13 05:52:43,13.2167,-59.5167,79.41,83,75,20.71,broken clouds
52,Kirakira,SB,2022-05-13 05:52:44,-10.4544,161.9205,82.42,79,42,2.48,scattered clouds
53,Impfondo,CG,2022-05-13 05:52:44,1.6381,18.0667,76.01,79,73,1.23,broken clouds
54,Provideniya,RU,2022-05-13 05:52:45,64.3833,-173.3,32.11,86,75,11.18,broken clouds
55,Kapaa,US,2022-05-13 05:52:45,22.0752,-159.319,75.52,85,75,20.71,broken clouds
56,Upernavik,GL,2022-05-13 05:52:46,72.7868,-56.1549,4.62,93,63,4.47,broken clouds
57,Havelock,US,2022-05-13 05:52:46,34.8791,-76.9013,64.99,95,100,5.01,heavy intensity rain
58,Saskylakh,RU,2022-05-13 05:52:47,71.9167,114.0833,20.5,89,85,19.17,overcast clouds
59,Henties Bay,NA,2022-05-13 05:52:47,-22.116,14.2845,57.4,85,63,6.11,broken clouds
60,Nueva Guinea,NI,2022-05-13 05:52:48,11.6876,-84.4562,73.33,92,68,8.55,broken clouds
61,Ca Mau,VN,2022-05-13 05:52:49,9.1769,105.15,92.32,54,98,9.8,overcast clouds
62,Tasiilaq,GL,2022-05-13 05:52:50,65.6145,-37.6368,12.65,64,26,5.01,scattered clouds
63,Guiyang,CN,2022-05-13 05:52:50,26.5833,106.7167,66.69,72,100,11.18,overcast clouds
64,Torbay,CA,2022-05-13 05:52:51,47.6666,-52.7314,35.38,84,0,8.05,clear sky
65,Awbari,LY,2022-05-13 05:52:52,26.5921,12.7805,64.74,43,0,7.81,clear sky
66,Gainesville,US,2022-05-13 05:51:31,29.6516,-82.3248,67.08,88,75,0.0,broken clouds
67,Vikulovo,RU,2022-05-13 05:52:52,56.8167,70.6107,68.16,35,0,7.07,clear sky
68,Dingle,PH,2022-05-13 05:52:53,10.9995,122.6711,92.7,52,54,9.13,broken clouds
69,Solnechnyy,RU,2022-05-13 05:52:53,50.7214,136.6319,54.84,44,68,10.29,broken clouds
70,Ilam,NP,2022-05-13 05:52:54,26.9167,87.9167,77.36,70,83,2.86,broken clouds
71,Barra Patuca,HN,2022-05-13 05:52:54,15.8,-84.2833,76.26,81,12,7.65,few clouds
72,Cherskiy,RU,2022-05-13 05:52:55,68.75,161.3,36.43,100,85,11.92,overcast clouds
73,Mar Del Plata,AR,2022-05-13 05:52:55,-38.0023,-57.5575,54.95,83,100,8.99,moderate rain
74,Tongliao,CN,2022-05-13 05:52:56,43.6125,122.2653,64.17,18,35,16.91,scattered clouds
75,Tiksi,RU,2022-05-13 05:52:56,71.6872,128.8694,22.19,78,60,13.15,broken clouds
76,Cayenne,GF,2022-05-13 05:52:57,4.9333,-52.3333,80.1,1,75,5.01,broken clouds
77,Muisne,EC,2022-05-13 05:52:57,0.6,-80.0333,76.87,89,100,9.08,light rain
78,Pevek,RU,2022-05-13 05:52:58,69.7008,170.3133,31.1,83,91,11.18,overcast clouds
79,Buraydah,SA,2022-05-13 05:52:58,26.326,43.975,77.45,11,0,9.28,clear sky
80,Hithadhoo,MV,2022-05-13 05:52:59,-0.6,73.0833,83.89,67,49,12.86,scattered clouds
81,Ures,MX,2022-05-13 05:52:59,29.4333,-110.4,71.44,9,6,2.95,clear sky
82,Touros,BR,2022-05-13 05:53:00,-5.1989,-35.4608,75.97,91,37,9.75,scattered clouds
83,Georgetown,MY,2022-05-13 05:53:01,5.4112,100.3354,93.13,70,20,6.91,few clouds
84,Nikolskoye,RU,2022-05-13 05:53:01,59.7035,30.7861,48.7,83,98,12.35,overcast clouds
85,Barrow,US,2022-05-13 05:53:02,71.2906,-156.7887,21.07,89,99,9.06,overcast clouds
86,Mahebourg,MU,2022-05-13 05:53:02,-20.4081,57.7,79.25,69,40,10.36,scattered clouds
87,Lolodorf,CM,2022-05-13 05:53:03,3.2333,10.7333,71.62,97,99,1.3,overcast clouds
88,Jamestown,US,2022-05-13 05:53:03,42.097,-79.2353,67.64,74,0,5.75,clear sky
89,Haines Junction,CA,2022-05-13 05:53:04,60.7522,-137.5108,29.88,95,8,3.65,clear sky
90,Chokurdakh,RU,2022-05-13 05:53:04,70.6333,147.9167,32.74,100,99,10.07,overcast clouds
91,Saint-Honore,CA,2022-05-13 05:53:05,48.5334,-71.0824,65.52,40,100,10.36,overcast clouds
92,Nanortalik,GL,2022-05-13 05:53:05,60.1432,-45.2371,31.3,80,100,2.95,overcast clouds
93,Kaitangata,NZ,2022-05-13 05:48:57,-46.2817,169.8464,52.68,73,100,3.76,overcast clouds
94,Leshukonskoye,RU,2022-05-13 05:53:06,64.8989,45.7622,50.79,78,100,10.16,overcast clouds
95,Bagdarin,RU,2022-05-13 05:53:07,54.4333,113.6,57.11,28,56,13.06,broken clouds
96,Bluff,NZ,2022-05-13 05:53:07,-46.6,168.3333,55.8,79,100,12.55,overcast clouds
97,Praia Da Vitoria,PT,2022-05-13 05:53:08,38.7333,-27.0667,59.25,77,40,7.92,scattered clouds
98,Ribeira Grande,PT,2022-05-13 05:53:08,38.5167,-28.7,60.66,68,75,5.82,broken clouds
99,Port Macquarie,AU,2022-05-13 05:53:09,-31.4333,152.9167,72.9,89,100,14.88,overcast clouds
100,Norman Wells,CA,2022-05-13 05:50:05,65.282,-126.8329,53.64,37,75,2.3,broken clouds
101,Caravelas,BR,2022-05-13 05:53:10,-17.7125,-39.2481,71.04,94,10,3.98,clear sky
102,Karpinsk,RU,2022-05-13 05:53:10,59.7654,60.0085,56.32,51,91,9.1,overcast clouds
103,Levokumskoye,RU,2022-05-13 05:53:11,44.8219,44.6606,62.85,42,42,15.1,scattered clouds
104,Evensk,RU,2022-05-13 05:53:12,61.95,159.2333,42.94,70,27,5.99,scattered clouds
105,Halifax,CA,2022-05-13 05:53:12,44.6453,-63.5724,58.89,87,71,3.44,broken clouds
106,Hilo,US,2022-05-13 05:50:26,19.7297,-155.09,73.26,83,75,3.44,broken clouds
107,Mataura,NZ,2022-05-13 05:53:13,-46.1927,168.8643,55.47,84,100,2.8,overcast clouds
108,Areosa,PT,2022-05-13 05:53:13,41.7178,-8.8571,58.86,73,68,2.26,broken clouds
109,Shahrud,IR,2022-05-13 05:53:14,36.4182,54.9763,57.92,56,15,12.35,few clouds
110,Saint-Philippe,RE,2022-05-13 05:53:14,-21.3585,55.7679,78.39,67,5,7.96,clear sky
111,Waingapu,ID,2022-05-13 05:53:15,-9.6567,120.2641,83.57,69,99,4.83,overcast clouds
112,Anloga,GH,2022-05-13 05:53:15,5.7947,0.8973,81.32,83,95,8.1,overcast clouds
113,Cape Town,ZA,2022-05-13 05:49:37,-33.9258,18.4232,57.88,94,100,12.66,light rain
114,Rabo De Peixe,PT,2022-05-13 05:53:16,37.8,-25.5833,60.28,91,75,5.75,broken clouds
115,Aksu,CN,2022-05-13 05:53:16,41.1231,80.2644,72.91,25,100,5.97,light rain
116,Sao Miguel Do Araguaia,BR,2022-05-13 05:53:17,-13.275,-50.1628,70.16,58,7,3.06,clear sky
117,Guisguis,PH,2022-05-13 05:53:17,13.8714,121.5192,88.05,57,31,7.23,scattered clouds
118,Morehead,US,2022-05-13 05:53:18,37.2711,-87.1764,63.86,91,0,0.0,clear sky
119,Nishihara,JP,2022-05-13 05:53:19,26.1842,127.7558,78.85,97,100,16.11,drizzle
120,Khatanga,RU,2022-05-13 05:53:19,71.9667,102.5,23.22,79,18,12.01,few clouds
121,Sioux Lookout,CA,2022-05-13 05:53:20,50.1001,-91.917,50.07,93,100,8.05,shower rain
122,Fairbanks,US,2022-05-13 05:48:50,64.8378,-147.7164,39.2,92,100,9.22,light rain
123,Kruisfontein,ZA,2022-05-13 05:53:20,-34.0033,24.7314,53.76,70,3,7.29,clear sky
124,Chuy,UY,2022-05-13 05:53:21,-33.6971,-53.4616,49.95,82,30,2.95,scattered clouds
125,Rincon,US,2022-05-13 05:53:21,32.296,-81.2354,66.85,94,100,6.91,overcast clouds
126,Nome,US,2022-05-13 05:53:22,64.5011,-165.4064,33.17,72,14,18.45,few clouds
127,Hermanus,ZA,2022-05-13 05:53:22,-34.4187,19.2345,57.79,79,97,11.7,overcast clouds
128,Longyearbyen,SJ,2022-05-13 05:48:40,78.2186,15.6401,17.44,57,0,13.8,clear sky
129,Sibu,MY,2022-05-13 05:53:23,2.3,111.8167,89.91,62,40,4.61,scattered clouds
130,Kudahuvadhoo,MV,2022-05-13 05:53:23,2.6708,72.8944,83.16,79,99,16.87,overcast clouds
131,Ixtapa,MX,2022-05-13 05:53:24,20.7,-105.2,79.23,71,55,1.54,broken clouds
132,Altay,CN,2022-05-13 05:53:24,47.8667,88.1167,65.44,30,88,6.42,overcast clouds
133,Vardo,NO,2022-05-13 05:53:25,70.3705,31.1107,37.38,75,41,11.5,scattered clouds
134,Dutlwe,BW,2022-05-13 05:53:25,-23.9833,23.9,60.94,45,0,7.27,clear sky
135,Ilulissat,GL,2022-05-13 05:53:26,69.2167,-51.1,10.42,96,89,6.53,overcast clouds
136,Antalaha,MG,2022-05-13 05:53:26,-14.9003,50.2788,80.56,61,3,12.35,clear sky
137,Mahibadhoo,MV,2022-05-13 05:53:27,3.7833,72.9667,83.62,75,95,17.16,overcast clouds
138,Adrar,MR,2022-05-13 05:53:27,20.5022,-10.0711,80.35,19,3,11.95,clear sky
139,Alofi,NU,2022-05-13 05:51:47,-19.0595,-169.9187,73.29,94,100,12.66,overcast clouds
140,Pangnirtung,CA,2022-05-13 05:53:28,66.1451,-65.7125,6.22,80,17,6.93,few clouds
141,Santa Cruz,BO,2022-05-13 05:53:29,-17.8,-63.1667,65.66,88,0,3.44,clear sky
142,Avarua,CK,2022-05-13 05:53:29,-21.2078,-159.775,80.65,89,75,9.22,broken clouds
143,Mount Gambier,AU,2022-05-13 05:50:41,-37.8333,140.7667,67.3,61,92,4.54,overcast clouds
144,Saint-Joseph,RE,2022-05-13 05:53:30,-21.3667,55.6167,77.38,66,2,7.96,clear sky
145,Lompoc,US,2022-05-13 05:53:31,34.6391,-120.4579,54.59,80,0,17.27,clear sky
146,Margherita,IN,2022-05-13 05:53:31,27.2833,95.6833,75.0,97,93,3.09,overcast clouds
147,Honiara,SB,2022-05-13 05:53:32,-9.4333,159.95,83.34,75,38,1.86,scattered clouds
148,Jurado,CO,2022-05-13 05:53:32,7.1053,-77.7641,77.67,91,97,1.32,light rain
149,Isangel,VU,2022-05-13 05:52:47,-19.55,169.2667,74.55,62,100,17.6,overcast clouds
150,Imphal,IN,2022-05-13 05:49:30,24.8167,93.95,73.31,94,75,3.44,mist
151,Sitka,US,2022-05-13 05:53:33,57.0531,-135.33,44.01,85,45,1.95,scattered clouds
152,Seoul,KR,2022-05-13 05:53:34,37.5683,126.9778,76.39,31,0,6.91,clear sky
153,Resavica,RS,2022-05-13 05:53:35,44.0408,21.5816,67.69,60,7,2.37,clear sky
154,Ostrovnoy,RU,2022-05-13 05:53:35,68.0531,39.5131,42.82,92,89,4.88,overcast clouds
155,Natal,BR,2022-05-13 05:48:57,-5.795,-35.2094,77.22,94,75,4.61,broken clouds
156,Tupik,RU,2022-05-13 05:53:36,54.4253,119.9327,41.67,82,100,8.86,light rain
157,Carnarvon,AU,2022-05-13 05:53:36,-24.8667,113.6333,69.62,57,85,19.48,overcast clouds
158,Olinda,BR,2022-05-13 05:53:37,-8.0089,-34.8553,76.73,94,100,4.61,overcast clouds
159,Pacasmayo,PE,2022-05-13 05:53:09,-7.4006,-79.5714,64.15,86,73,11.1,broken clouds
160,Victoria,HK,2022-05-13 05:49:41,22.2855,114.1577,82.45,86,100,11.99,overcast clouds
161,Kalmunai,LK,2022-05-13 05:53:38,7.4167,81.8167,89.42,56,77,3.51,broken clouds
162,Lahaina,US,2022-05-13 05:53:38,20.8783,-156.6825,78.04,83,64,10.25,broken clouds
163,Kavieng,PG,2022-05-13 05:53:39,-2.5744,150.7967,84.07,67,100,9.35,overcast clouds
164,Bandarbeyla,SO,2022-05-13 05:51:35,9.4942,50.8122,91.04,53,96,11.81,overcast clouds
165,Trairi,BR,2022-05-13 05:48:49,-3.2778,-39.2689,76.03,93,97,7.36,overcast clouds
166,Thunder Bay,CA,2022-05-13 05:51:38,48.4001,-89.3168,50.29,100,100,23.02,light rain
167,Saint-Paul,RE,2022-05-13 05:53:40,-21.0096,55.2707,80.69,64,1,5.53,clear sky
168,Baisha,CN,2022-05-13 05:53:40,26.5222,110.9311,63.95,98,100,4.05,overcast clouds
169,Fallon,US,2022-05-13 05:53:41,39.4735,-118.7774,57.07,31,40,13.8,scattered clouds
170,Sosnogorsk,RU,2022-05-13 05:53:42,63.6023,53.8817,55.78,50,12,9.53,few clouds
171,Bud,US,2022-05-13 05:53:42,39.447,-86.1758,68.02,75,10,7.36,clear sky
172,Lavrentiya,RU,2022-05-13 05:53:43,65.5833,-171.0,26.89,81,4,4.21,clear sky
173,Rosetta,EG,2022-05-13 05:53:43,31.4044,30.4164,70.39,60,24,11.32,few clouds
174,Ugoofaaru,MV,2022-05-13 05:53:44,5.6667,73.0,83.95,77,100,22.39,overcast clouds
175,Hualmay,PE,2022-05-13 05:53:44,-11.0964,-77.6139,62.96,86,66,9.37,broken clouds
176,Palmer,US,2022-05-13 05:53:45,42.1584,-72.3287,63.77,87,0,6.91,clear sky
177,Krasnyy Chikoy,RU,2022-05-13 05:53:45,50.3643,108.7512,58.82,28,47,10.78,scattered clouds
178,Vanimo,PG,2022-05-13 05:53:46,-2.6741,141.3028,83.14,76,100,6.4,overcast clouds
179,Port Lincoln,AU,2022-05-13 05:53:46,-34.7333,135.8667,65.75,56,100,12.3,overcast clouds
180,Lakatoro,VU,2022-05-13 05:53:47,-16.0999,167.4164,77.92,73,100,17.47,overcast clouds
181,Labrea,BR,2022-05-13 05:53:47,-7.2586,-64.7981,75.85,80,100,1.25,overcast clouds
182,Padang,ID,2022-05-13 05:53:48,-0.9492,100.3543,87.85,61,70,5.75,light rain
183,Tuskegee,US,2022-05-13 05:53:48,32.424,-85.6916,72.75,76,45,6.17,scattered clouds
184,Roebourne,AU,2022-05-13 05:53:49,-20.7833,117.1333,80.15,71,91,10.13,light rain
185,Agadez,NE,2022-05-13 05:53:49,19.75,10.25,74.97,22,0,7.76,clear sky
186,Aksarka,RU,2022-05-13 05:53:50,66.5606,67.7975,37.92,100,100,10.54,overcast clouds
187,Rafaela,AR,2022-05-13 05:53:50,-31.2503,-61.4867,53.01,60,95,1.01,overcast clouds
188,Maceio,BR,2022-05-13 05:49:55,-9.6658,-35.7353,76.44,88,75,4.61,broken clouds
189,Caluquembe,AO,2022-05-13 05:53:51,-13.7833,14.6833,57.63,64,1,1.19,clear sky
190,Matamoros,MX,2022-05-13 05:53:52,25.5333,-103.25,80.98,35,10,3.69,clear sky
191,Tuktoyaktuk,CA,2022-05-13 05:53:52,69.4541,-133.0374,41.0,65,75,9.22,broken clouds
192,Hoquiam,US,2022-05-13 05:53:52,46.9809,-123.8893,45.93,92,9,5.46,clear sky
193,Pochutla,MX,2022-05-13 05:53:53,15.7432,-96.4661,81.82,66,3,4.63,clear sky
194,Egvekinot,RU,2022-05-13 05:53:54,66.3167,-179.1667,25.74,93,50,3.94,scattered clouds
195,Guildford,GB,2022-05-13 05:53:54,51.2354,-0.5743,53.15,79,75,9.22,broken clouds
196,Keetmanshoop,NA,2022-05-13 05:53:55,-26.5833,18.1333,52.79,53,67,0.54,broken clouds
197,Arlit,NE,2022-05-13 05:53:55,18.7369,7.3853,83.89,14,0,7.29,clear sky
198,Kahului,US,2022-05-13 05:53:56,20.8947,-156.47,77.02,70,40,20.71,scattered clouds
199,Valle De Allende,MX,2022-05-13 05:53:56,26.9333,-105.4,74.43,17,66,8.1,broken clouds
200,Porto Novo,BJ,2022-05-13 05:53:57,6.4965,2.6036,78.62,88,65,3.8,broken clouds
201,Pulaski,US,2022-05-13 05:53:57,34.7668,-92.3001,76.17,90,3,3.56,clear sky
202,Balkanabat,TM,2022-05-13 05:53:58,39.5108,54.3671,69.8,49,61,4.03,light rain
203,Dongning,CN,2022-05-13 05:53:58,44.0622,131.1207,64.04,28,96,6.46,overcast clouds
204,Geraldton,AU,2022-05-13 05:53:59,-28.7667,114.6,64.81,72,75,8.05,broken clouds
205,Chunhuhub,MX,2022-05-13 05:53:59,19.55,-88.6833,68.36,91,0,2.15,clear sky
206,Umea,SE,2022-05-13 05:52:28,63.8284,20.2597,49.91,71,0,10.36,clear sky
207,Gat,IL,2022-05-13 05:51:02,31.61,34.7642,77.4,34,9,5.23,clear sky
208,Ponta Do Sol,PT,2022-05-13 05:54:00,32.6667,-17.1,67.01,83,98,3.56,overcast clouds
209,Mamallapuram,IN,2022-05-13 05:54:01,12.6264,80.1722,89.65,56,97,10.56,overcast clouds
210,Vaini,TO,2022-05-13 05:54:01,-21.2,-175.2,73.56,78,75,13.8,light intensity shower rain
211,Umm Lajj,SA,2022-05-13 05:54:02,25.0213,37.2685,96.19,25,0,6.31,clear sky
212,Yeppoon,AU,2022-05-13 05:54:02,-23.1333,150.7333,76.78,84,83,9.44,broken clouds
213,Sao Joao Da Barra,BR,2022-05-13 05:54:03,-21.6403,-41.0511,69.93,86,77,7.58,broken clouds
214,Saint George,US,2022-05-13 05:54:04,37.1041,-113.5841,64.99,20,0,3.44,clear sky
215,Alasehir,TR,2022-05-13 05:54:04,38.3508,28.5172,69.87,44,99,3.87,overcast clouds
216,Konya,TR,2022-05-13 05:54:05,38.1667,32.5,59.72,32,0,5.28,clear sky
217,Quatre Cocos,MU,2022-05-13 05:54:06,-20.2078,57.7625,79.09,72,78,13.87,broken clouds
218,Newport,GB,2022-05-13 05:54:06,51.5877,-2.9984,54.34,84,96,16.73,overcast clouds
219,General Pico,AR,2022-05-13 05:54:07,-35.6566,-63.7568,60.33,56,100,14.07,overcast clouds
220,Liberty,US,2022-05-13 05:54:07,31.8335,-81.5004,66.31,96,75,3.0,broken clouds
221,Conakry,GN,2022-05-13 05:54:08,9.538,-13.6773,77.07,83,40,4.61,light rain
222,Aguas Vermelhas,BR,2022-05-13 05:54:08,-15.7472,-41.46,61.57,89,65,2.66,broken clouds
223,Emba,KZ,2022-05-13 05:54:09,48.8264,58.1442,59.74,57,96,17.85,overcast clouds
224,Pueblo Nuevo,MX,2022-05-13 05:54:09,23.3833,-105.3833,64.38,57,86,1.88,overcast clouds
225,Phangnga,TH,2022-05-13 05:54:10,8.4509,98.5298,87.84,67,98,5.7,overcast clouds
226,Srednekolymsk,RU,2022-05-13 05:54:10,67.45,153.6833,42.71,91,74,7.02,broken clouds
